num_physical_qubits symmetry_runtime Mapomatic_runtime fast_scoring_runtime scoring_runtime
583.0 0.47128796577453613 0.3155641555786133 0.001859903335571289 0.30325794219970703
2163.0 0.03947091102600098 1.006075143814087 0.007318973541259766 0.9619231224060059
4743.0 0.14959168434143066 2.2229528427124023 0.017650842666625977 2.0892601013183594
8323.0 0.20988011360168457 4.257654666900635 0.11131691932678223 3.784895896911621
12903.0 0.2881500720977783 6.879692077636719 0.056622982025146484 6.107131242752075
18483.0 0.47522807121276855 10.070719003677368 0.17727899551391602 8.62293291091919
25063.0 0.6957120895385742 14.269874811172485 0.21729111671447754 11.694273948669434
32643.0 0.9227001667022705 19.330364227294922 0.3634002208709717 15.019156217575073
41223.0 1.0622258186340332 25.99154305458069 0.41640377044677734 19.20664119720459
50803.0 1.2019410133361816 33.603951930999756 0.457888126373291 23.651877880096436
61383.0 1.5068721771240234 42.99856400489807 0.5452423095703125 28.612279176712036
72963.0 2.1497340202331543 53.872833013534546 0.8384561538696289 33.63340902328491
85543.0 2.077357053756714 67.0273449420929 0.7597301006317139 39.55104303359985
