num_physical_qubits VF2_runtime VF2pp_runtime symmetry_matching_runtime
100.0 0.012813091278076172 0.009147882461547852 0.01588296890258789
900.0 0.1192009449005127 0.11901211738586426 0.21077585220336914
2500.0 0.394852876663208 0.47894716262817383 0.18251919746398926
4900.0 1.5476951599121094 1.239743947982788 0.38506603240966797
8100.0 2.649101734161377 2.667840003967285 0.6251220703125
12100.0 5.139825105667114 5.114591836929321 0.916985034942627
16900.0 9.267632246017456 9.447381019592285 1.0845088958740234
22500.0 14.92734169960022 14.480005025863647 1.4987092018127441
28900.0 22.95266103744507 23.526923894882202 1.819957971572876
36100.0 34.83417296409607 34.4663610458374 2.368558883666992
44100.0 50.59105396270752 50.10363221168518 2.543105125427246
52900.0 70.99585509300232 71.1189501285553 3.2829749584198
62500.0 97.68658876419067 98.04157209396362 3.567326784133911
72900.0 131.73175597190857 131.0137870311737 4.0591490268707275
84100.0 172.80060267448425 173.2615668773651 4.938087224960327
