num_physical_qubits symmetry_runtime Mapomatic_runtime fast_scoring_runtime scoring_runtime
800.0 0.6355330944061279 1.764704942703247 0.01654982566833496 1.6791658401489258
1800.0 0.37017393112182617 3.9917101860046387 0.15363669395446777 3.8811702728271484
3200.0 0.8148820400238037 7.1343162059783936 0.23053312301635742 6.891654968261719
5000.0 0.7038710117340088 11.359951734542847 0.2615799903869629 10.900988817214966
7200.0 1.2407028675079346 16.682976007461548 0.5594890117645264 15.87054181098938
9800.0 1.3227667808532715 24.067332983016968 0.47354698181152344 22.15881109237671
12800.0 1.705505132675171 32.01865911483765 0.5771899223327637 29.74213719367981
16200.0 2.5452330112457275 39.45028018951416 0.857924222946167 36.249266147613525
20000.0 2.990676164627075 50.65144491195679 1.2240269184112549 45.255510091781616
24200.0 3.7378177642822266 62.4336519241333 1.5282456874847412 55.15325975418091
28800.0 5.009690761566162 75.17280888557434 2.11877179145813 66.11165404319763
33800.0 4.797868013381958 90.34620809555054 1.8094699382781982 78.20902514457703
39200.0 5.296616077423096 105.82704782485962 2.1758620738983154 89.06712198257446
45000.0 6.599338054656982 124.60423135757446 3.1481783390045166 103.04455828666687
51200.0 7.170262098312378 144.09631896018982 3.4931979179382324 117.01428198814392
57800.0 7.497830867767334 167.60319304466248 3.3498377799987793 133.56318879127502
64800.0 9.294065952301025 191.09838891029358 4.562001943588257 148.86816501617432
72200.0 9.308852910995483 217.32397532463074 4.662495851516724 165.61998796463013
80000.0 10.51030707359314 247.08486104011536 5.164846181869507 184.2666358947754
88200.0 11.4145028591156 278.6290400028229 5.5803446769714355 201.97752690315247
