num_physical_qubits symmetry_runtime Mapomatic_runtime fast_scoring_runtime scoring_runtime
100.0 0.5249791145324707 0.2088780403137207 0.003259897232055664 0.04375576972961426
900.0 0.1643679141998291 0.6179599761962891 0.12833786010742188 0.4772779941558838
2500.0 0.46567392349243164 1.7913470268249512 0.2486097812652588 1.4027960300445557
4900.0 0.9869790077209473 3.8727989196777344 0.4301118850708008 2.7617719173431396
8100.0 1.7879180908203125 6.849622011184692 0.9994843006134033 4.510868072509766
12100.0 2.3038878440856934 11.504544019699097 1.294358730316162 6.8273420333862305
16900.0 3.6131560802459717 18.604785919189453 2.231873035430908 9.485261917114258
22500.0 4.823575973510742 28.770807027816772 3.249607801437378 13.713121891021729
28900.0 6.267682790756226 39.95233201980591 4.169661998748779 17.37446403503418
36100.0 7.7512078285217285 56.94207000732422 4.997604846954346 21.583422899246216
44100.0 8.464545249938965 76.18715500831604 5.745687007904053 26.279293060302734
52900.0 9.382195949554443 102.95766925811768 6.223119020462036 31.411930084228516
62500.0 11.00281286239624 134.71610713005066 7.012184143066406 36.900004148483276
72900.0 12.004022598266602 174.2045819759369 7.88507866859436 42.966859102249146
84100.0 14.53430700302124 221.78956270217896 8.932016134262085 49.249733686447144
