num_physical_qubits VF2_runtime VF2pp_runtime symmetry_matching_runtime
800.0 0.13008785247802734 0.06221413612365723 0.5188319683074951
1800.0 0.22126197814941406 0.11766815185546875 0.19192790985107422
3200.0 0.3939061164855957 0.24530982971191406 0.3680388927459717
5000.0 0.5805330276489258 0.5782511234283447 0.4458916187286377
7200.0 1.110145092010498 0.8290460109710693 0.6073651313781738
9800.0 1.8123021125793457 1.4742581844329834 0.7003090381622314
12800.0 2.958873748779297 2.231017827987671 0.9694857597351074
16200.0 4.221947908401489 3.4266228675842285 1.1394000053405762
20000.0 6.267736911773682 4.873535871505737 1.3669679164886475
24200.0 8.779321908950806 6.745085954666138 1.7014191150665283
28800.0 12.084278106689453 9.095416784286499 2.2568118572235107
33800.0 16.19230842590332 12.28589129447937 2.5251989364624023
39200.0 21.48650097846985 15.996698141098022 2.853943109512329
45000.0 27.87422800064087 20.82891011238098 3.2418630123138428
51200.0 35.69519114494324 26.775840997695923 3.414151906967163
57800.0 44.856850385665894 33.61607909202576 3.804605007171631
64800.0 56.01103901863098 42.00512170791626 4.225749969482422
72200.0 69.11034512519836 51.38346576690674 4.859331130981445
80000.0 84.13204002380371 62.24048209190369 5.052870035171509
88200.0 102.60854816436768 75.38299798965454 5.760569095611572
