num_physical_qubits VF2_runtime VF2pp_runtime symmetry_matching_runtime
583.0 0.009160041809082031 0.021178007125854492 0.4165942668914795
2163.0 0.04289102554321289 0.0417027473449707 0.030282974243164062
4743.0 0.14944100379943848 0.13376307487487793 0.15507292747497559
8323.0 0.38915109634399414 0.3725571632385254 0.09824299812316895
12903.0 1.1229560375213623 0.8745920658111572 0.2955288887023926
18483.0 1.8921747207641602 1.6190099716186523 0.33504176139831543
25063.0 2.7916970252990723 2.870554208755493 0.4059441089630127
32643.0 4.796781063079834 4.275941848754883 0.6285030841827393
41223.0 7.43742299079895 6.777395963668823 0.7321310043334961
50803.0 10.962196826934814 10.067266941070557 0.8327071666717529
61383.0 15.732479810714722 14.476048946380615 1.0596210956573486
72963.0 22.203920125961304 20.177414894104004 1.257951021194458
85543.0 29.987231969833374 27.514706134796143 1.3980391025543213
